"biz_rest.business_id" "biz_rest.state" "biz_rest.name" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.attributes.RestaurantsTakeOut" "biz_rest.attributes.RestaurantsReservations" "biz_rest.attributes.WiFi" "biz_rest.attributes.Caters" "biz_rest.review_count" "biz_rest.hours.Monday" "biz_rest.hours.Tuesday" "biz_rest.hours.Wednesday" "biz_rest.hours.Thursday" "biz_rest.hours.Friday" "biz_rest.hours.Saturday" "biz_rest.hours.Sunday" "num_checkins"
"71429" "kxBiQz2AcOJLc6je6OD9vw" "NV" "Firehouse Subs" 3.5 -115.10177 35.998737 TRUE FALSE "no" TRUE 26 "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" 248
"71432" "KxcQs2Lkm3FJiltVWXOz_Q" "ON" "Hashi Izakaya" 3.5 -79.415713 43.779256 FALSE TRUE "free" TRUE 37 "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-2:30" "17:00-2:30" 82
"71436" "kxDMvdpuatJJLKVgg19Z1Q" "NC" "Trade Restaurant and Bar" 3.5 -80.8425319 35.2264493 TRUE TRUE "free" FALSE 10 "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" 73
"71442" "kXf-SBVDlZXEdv9RupkN7Q" "QC" "Farine" 4.5 -73.6000477 45.5244186 TRUE FALSE "free" TRUE 19 "8:00-16:00" "8:00-16:00" "8:00-16:00" "8:00-16:00" "8:00-16:00" "11:00-16:00" "11:00-16:00" 27
"71449" "KxGVWLAhwWjEOWfx2R2T8Q" "AZ" "Qdoba Mexican Grill" 2.5 -111.8905049 33.3202869 TRUE FALSE "free" TRUE 20 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 119
"71452" "KxHDiCOhHWQu_VOw8DMfJA" "ON" "The Hole In the Wall" 4.5 -79.4651495 43.6653367 FALSE FALSE "no" FALSE 125 "16:00-2:00" "16:00-2:00" "16:00-2:00" "16:00-2:00" "16:00-2:00" "16:00-2:00" "12:00-2:00" 423
"71459" "kXIJwryYY2xDHNnI7jz-WQ" "OH" "Pho Thang Cafe" 4.5 -81.6893526 41.5024433 TRUE TRUE "free" FALSE 173 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-19:00" 484
"71460" "KXITXbKuE60WSUDs7NZVLQ" "NV" "Table 10" 3.5 -115.167966 36.12478 TRUE TRUE "no" FALSE 660 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 1719
"71470" "KXl2k4LkrmnHRTTAY-TVDQ" "ON" "Bombay Chopsticks" 3.5 -79.660979 43.615601 TRUE TRUE "no" TRUE 41 "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-23:30" "12:00-23:30" "12:00-22:30" 134
"71471" "kXl44keW3wZaJpjEqHk30g" "NV" "Farmer Boys" 3.5 -115.0793964 36.2415413 TRUE FALSE "free" FALSE 131 "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-23:00" "6:00-23:00" "7:00-22:00" 910
"71474" "KXLjOJbl9VYXFxKT4YK99Q" "AZ" "China Red Cafe" 4 -112.3390531 33.4948735 TRUE FALSE "no" TRUE 112 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:30" "11:00-21:30" "12:00-21:00" 139
"71489" "KXO9aGAOWAJEmHD_d8yQ7A" "NV" "Sonic Drive-In" 3 -114.977473 36.03648 TRUE FALSE "no" FALSE 53 "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-0:00" 637
"71490" "kXoCEwQ1Qr9Ft6uObAvCBQ" "NC" "Pollo Campero" 4.5 -80.8768541 35.1519365 TRUE FALSE "no" TRUE 17 "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-12:00" "10:00-12:00" "10:00-23:00" 33
"71492" "Kxop0nGA-BUrwYD4EGhyPA" "ON" "Chinese Traditional Buns" 3 -79.3990448 43.6527292 TRUE FALSE "no" FALSE 65 "0:00-23:00" "11:15-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 85
"71503" "KxqAQ-CJcAPDTJbrnQUTfg" "NC" "Great Wok" 2.5 -80.849314828 35.2328099009 TRUE FALSE "no" TRUE 61 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "12:00-22:00" "12:00-21:30" 91
"71505" "KXqOT3vyx8Ao7com4yST-g" "OH" "Chapati Indian Grill" 2.5 -81.6755432775 41.5038381619 TRUE FALSE "free" FALSE 25 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "12:00-21:00" "12:00-21:00" 9
"71511" "KxrdZP_HuY9Pcf3-gzZzDA" "NC" "BT's Burger Joint" 3 -80.7727431745 35.0620592742 TRUE FALSE "free" FALSE 55 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 126
"71519" "kXUHSQ0ukNC_eD-_O_n9Pg" "QC" "L'Italien Cafe Bistro" 5 -73.792598471 45.5220177983 TRUE TRUE "free" TRUE 4 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-18:00" 5
"71525" "KXv9wm5W9LTNZec2AsmHgQ" "PA" "Grand Central Pizza" 4 -79.8375731 40.2723899 TRUE FALSE "no" FALSE 10 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 2
"71534" "kXXeD5QOg3GKyyl9QWMifg" "ON" "Tasty Corner Restaurant" 3 -79.4023797 43.6552968 TRUE FALSE "free" FALSE 10 "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" 28
"71536" "kXxSkjIByGp4X6-FIO8_Qw" "NV" "The Diner at LVM Resort" 4.5 -115.199683271 36.0408979678 TRUE FALSE "no" FALSE 129 "7:30-14:30" "7:30-14:30" "7:30-14:30" "7:30-14:30" "7:30-14:30" "7:30-14:30" "8:00-13:30" 265
"71539" "kxYiZnd7Y-3ibdwnMFuTzw" "NV" "In-N-Out Burger" 4 -115.0339166 36.0633628 TRUE FALSE "no" FALSE 159 "10:30-1:00" "10:30-1:00" "10:30-1:00" "10:30-1:00" "10:30-1:30" "10:30-1:30" "10:30-1:00" 1891
"71546" "kxzS-zh5nUNvBzYz2Q47pg" "AZ" "Spotted Donkey Cantina, el Pedregal" 3.5 -111.926458 33.798073 TRUE TRUE "free" FALSE 295 "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-21:30" "11:30-21:30" "11:30-21:00" 477
"71553" "Ky0X7OLqSeBpvNNf0NjVcg" "PA" "Olive Garden Italian Restaurant" 3.5 -80.0456525 40.4198341 TRUE TRUE "free" TRUE 33 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 270
"71558" "kY2Uh2-CHgLff9rZZWuGDA" "OH" "Two Bucks" 3 -81.4366428148 41.6422110355 TRUE TRUE "free" TRUE 24 "11:00-2:30" "11:00-2:30" "11:00-2:30" "11:00-2:30" "11:00-2:30" "11:00-2:30" "11:00-2:30" 44
"71561" "ky4AyA_y6gx20tf95mZxSA" "OH" "Bass Lake Taverne Inn" 3.5 -81.204205 41.570459 TRUE TRUE "free" TRUE 39 "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-21:00" "11:30-22:00" "11:30-22:00" "11:00-21:00" 58
"71567" "ky5L-EfUwU9chSPcIeXM5w" "NV" "China A Gogo" 4 -114.981148299 36.0414027704 TRUE FALSE "no" TRUE 111 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "11:00-22:00" "11:00-21:30" 233
"71577" "ky8BMyjQm83cqq9fx_Rn3w" "ON" "The Common" 4 -79.4078277 43.6660326 TRUE FALSE "free" FALSE 19 "7:00-18:00" "7:00-18:00" "7:00-18:00" "7:00-18:00" "7:00-18:00" "7:00-18:00" "7:00-18:00" 26
"71597" "KYdtom3RyDt-3SWGwmJcQA" "WI" "QDOBA Mexican Eats" 3.5 -89.4965509978 43.0614295863 TRUE FALSE "no" FALSE 9 "10:30-22:30" "10:30-22:30" "10:30-22:30" "10:30-22:30" "10:30-22:30" "10:30-22:30" "10:30-22:30" 60
"71600" "kYezxBTjUC49pva5HLPKbg" "ON" "Fantail Bakery-Cafe" 4.5 -79.4500452 43.6492492 TRUE FALSE "no" TRUE 20 "7:30-18:00" "7:30-18:00" "7:30-18:00" "7:30-18:00" "7:30-18:00" "8:00-18:00" "8:00-18:00" 22
"71622" "kyJXyeLQmteBrjhxirrNrQ" "QC" "Moushi" 3.5 -73.630869 45.484839 TRUE FALSE "free" TRUE 5 "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-16:00" 2
"71625" "Kykw3ho8wHtLV6gr9qbWTg" "AZ" "Picazzo's Organic Italian Kitchen" 4 -111.9813513 33.597361 TRUE FALSE "free" FALSE 206 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 728
"71629" "kYli-nDMENotoxZonriBLA" "ON" "Mi-Ne Sushi" 4 -79.3908636901 43.6405181122 TRUE TRUE "no" TRUE 107 "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-22:30" "11:30-22:30" "12:00-22:30" "15:00-21:30" 185
"71633" "KYmWLtWOmPe7yW_QzrYbjA" "ON" "Sushi Kui" 3.5 -79.4715474995 44.0092598269 TRUE TRUE "no" TRUE 35 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "12:00-22:00" 31
"71638" "KyO_DCkbUL1AJSxdgIihUw" "ON" "Village Juicery" 4.5 -79.4472816 43.642113 TRUE FALSE "free" FALSE 8 "7:30-20:00" "7:30-20:00" "7:30-20:00" "7:30-20:00" "7:30-20:00" "8:00-19:00" "10:00-17:00" 5
"71647" "kyp6dmpiexaEhTBg7YpsSQ" "OH" "Angela's Family Restaurant" 3.5 -81.6391125 41.5282952 TRUE TRUE "free" TRUE 6 "4:30-16:00" "4:30-16:00" "4:30-16:00" "4:30-16:00" "4:30-16:00" "4:30-16:00" "4:30-16:00" 13
"71648" "KYPgJdH0KwBIxCcoz_K08Q" "ON" "Sugar Loaf" 4 -79.3490679 43.65903 TRUE FALSE "free" TRUE 31 "8:00-16:00" "8:00-19:00" "8:00-19:30" "8:00-19:30" "8:00-19:30" "9:00-19:30" "9:00-16:00" 52
"71650" "kyphxFtMIC6w7ktg-fwxWA" "OH" "Panera Bread" 2 -81.6036186478 41.509923684 TRUE FALSE "free" TRUE 39 "6:30-21:00" "6:30-21:00" "6:30-21:00" "6:30-21:00" "6:30-21:00" "7:00-21:00" "8:00-20:00" 259
"71675" "KyUFj09bfowyddCuOTP4mg" "AZ" "Little Saigon" 4.5 -112.1815353 33.5391207 TRUE FALSE "no" FALSE 354 "17:00-20:30" "17:00-20:30" "17:00-20:30" "17:00-20:30" "17:00-20:30" "11:00-20:30" "11:00-18:30" 1437
"71677" "KYv5Rtc-ymw3TOp4_RA_mQ" "NC" "Urban Cookhouse" 4 -80.8491195944 35.1739714031 TRUE FALSE "free" TRUE 24 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 19
"71680" "kYvZZ_aKaKLQKeyms74T2Q" "NV" "Lindo Michoacan" 3.5 -115.3124359 36.1155359 TRUE TRUE "free" TRUE 361 "10:30-23:00" "10:30-23:00" "10:30-23:00" "10:30-23:00" "10:30-0:00" "9:00-0:00" "9:00-23:00" 1536
"71682" "kywgPe0g6aVoq4VOMRMX1w" "ON" "Doug McNish's Public Kitchen" 4.5 -79.4437582 43.709379 TRUE TRUE "no" TRUE 45 "11:00-18:00" "11:00-18:00" "11:00-18:00" "11:00-18:00" "11:00-18:00" "10:00-18:00" "10:00-16:00" 60
"71686" "kyXEnWKQGWSThY6EcjORuw" "IL" "Zorba's Restaurant" 4 -88.229304 40.110085 TRUE FALSE "free" TRUE 101 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 192
"71692" "kYXnTyi3ucyxoswK9bvzCQ" "PA" "Jimmy John's" 4 -79.9597183 40.4392177 TRUE FALSE "no" TRUE 31 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-20:00" 132
"71702" "KyzPvdGPb2ubVlXJrS2QPA" "NV" "Pizzalicious" 4 -115.2439023 36.0900715 TRUE FALSE "free" TRUE 114 "12:00-22:00" "12:00-22:00" "12:00-22:00" "12:00-22:00" "0:00-0:00" "12:00-22:00" "12:00-22:00" 251
"71707" "kZ-ytO1SysT7mWchxwguZw" "NV" "O My Rice" 2.5 -115.2234209 36.2394004 TRUE FALSE "free" TRUE 61 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 159
"71711" "kZ36LGvnwetEq-seqwhkkw" "OH" "Abuelo's Mexican" 3.5 -81.4964005 41.4490705 TRUE FALSE "no" FALSE 90 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 489
"71716" "Kz4WS00PcqOJgxfZawk4dQ" "AZ" "Il Forno Italian Restaurant" 3.5 -111.6883735 33.4523351 TRUE TRUE "no" TRUE 115 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "12:00-20:00" 196
"71718" "kz5UANVmPxpllcoLnZBNhg" "WI" "Great Dane Pub & Brewing Co" 3.5 -89.279863 43.085345 TRUE TRUE "free" TRUE 94 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:30" "11:00-2:30" "10:00-2:00" 522
"71721" "kz7O0_o6WrDQk1Kl8dKeHQ" "AZ" "Stock & Stable" 4 -112.0655304 33.517962 TRUE TRUE "free" TRUE 209 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-0:00" "10:00-0:00" "10:00-22:00" 374
"71725" "KZ8HZTqYwQkSaQKYJOgTSw" "QC" "Café Dépot" 3 -73.5726406 45.5140653 TRUE FALSE "free" FALSE 9 "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-0:00" "6:00-2:00" "7:00-2:00" "7:00-0:00" 117
"71729" "KZaebYmt1Ewa6HDUuYbQpQ" "AZ" "Manila Sunrise Gourmet" 3 -111.879185703 33.3633210325 TRUE FALSE "no" TRUE 27 "8:30-19:00" "8:30-19:00" "8:30-19:00" "8:30-19:00" "8:30-20:00" "8:30-20:00" "8:30-18:00" 100
"71730" "kzaI1djbpwOEhCjzLneisA" "AZ" "Dub's Family Grill & Bar" 3 -111.666182 33.380378 TRUE TRUE "no" FALSE 4 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-2:00" "7:00-2:00" "7:00-0:00" 26
"71739" "kzCG-KC3YVrQs7l-0d0b1w" "PA" "Jet's Pizza" 3.5 -80.044309 40.398472 TRUE FALSE "no" TRUE 35 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-0:00" "11:00-0:00" "12:00-22:00" 13
"71752" "kZEz0x4wI6R9pdklX22MDA" "ON" "The Corner House" 3 -79.3147736 43.6780488 TRUE TRUE "free" TRUE 4 "15:00-1:00" "15:00-1:00" "15:00-1:00" "15:00-2:00" "15:00-2:00" "15:00-2:00" "15:00-1:00" 22
"71758" "KZG8txc-vzkfDt-4ZYeREA" "IL" "Uncle Martin's Sports Bar" 4.5 -88.200627 40.123643 TRUE FALSE "no" FALSE 11 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-2:00" "11:00-2:00" "11:00-21:00" 8
"71774" "Kzk4Wvpp11EL-mWkDZLS7w" "ON" "Harvey's Restaurants" 3.5 -79.6530537965 43.5788653404 TRUE FALSE "free" FALSE 6 "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-22:00" "10:30-23:00" "10:30-23:00" "11:00-21:00" 27
"71775" "KZKbv0vLfW2al37QSu5ZwQ" "QC" "La Sauvagine" 3 -73.5529714 45.5067995 FALSE TRUE "no" FALSE 50 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 59
"71793" "Kzo1z1hW6224lNd3al2SbQ" "AZ" "Desert Peaks Pizza & Grille" 3.5 -111.7034094 33.451777 TRUE FALSE "free" FALSE 25 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-1:00" "11:00-0:00" "11:00-22:00" 263
"71794" "kzOBa1uvGdYunmw6ssF9Dg" "ON" "Il Fornaro" 3 -79.420049 43.734129 TRUE TRUE "no" TRUE 14 "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-23:00" "16:00-23:00" "16:00-22:00" 12
"71805" "kzqx6Z2sse8PV3hVCVEw4g" "AZ" "Bombay Spice Grill" 3.5 -111.9787698 33.5839404 TRUE FALSE "free" TRUE 140 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:30" "11:00-21:00" "11:00-21:00" 299
"71808" "kZspuWnM0Y-Losvk2Rl0lA" "NV" "Cous Cous Mediterranean Cafe" 3.5 -115.140846252 36.1700553894 TRUE FALSE "free" FALSE 240 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "11:00-23:00" 541
"71813" "kzuQsq0KPWLeKFtnLXXyHg" "AZ" "Tam's" 4 -112.0443118 33.4071042 TRUE FALSE "no" FALSE 43 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "11:30-22:00" "12:00-21:00" 146
"71818" "kZW2RJdmb8Ymm22pLscYvA" "ON" "Showtime Bistro" 3.5 -79.2462887 43.8213037 TRUE TRUE "free" FALSE 30 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-23:00" "14:00-23:00" "14:00-22:00" 32
"71823" "kzwiQ54fopeTgGEIkgJ2dQ" "NV" "PT's" 3.5 -115.259810224 36.0686032269 TRUE FALSE "free" FALSE 87 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 1586
"71838" "L-_-9JNAb6UDyq7waykX2A" "AZ" "Senor Sushi" 3.5 -112.1528036 33.495912 TRUE FALSE "free" TRUE 149 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-1:00" "11:00-1:00" "11:00-22:00" 264
"71852" "L-bXH-phRdH0j085-Ggf7A" "QC" "Le Festin du Capitaine" 3.5 -73.579658 45.493037 TRUE TRUE "no" FALSE 24 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 40
"71855" "l-D0uS-tgmhkFpHKBXvPQA" "AZ" "Chino Bandido" 3.5 -111.873637 33.304492 TRUE FALSE "free" FALSE 375 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 1156
"71860" "L-Go77QiXmXsYt9dYULPww" "OH" "Sí Señor Mexican Restaurant" 4 -81.814615 41.4508183 TRUE TRUE "no" TRUE 73 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:30" "12:00-22:30" "12:00-21:00" 229
"71862" "l-HGrLblZ5HkagtjKqHYXg" "NC" "Saigon Bay" 4 -80.7506220093 35.3107125797 TRUE TRUE "free" TRUE 107 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-22:00" "11:00-22:00" "11:00-21:00" 295
"71863" "l-HychX9Up6YNIDNxzdgFw" "NC" "Firehouse Subs" 3.5 -80.850153 35.029324 TRUE FALSE "no" TRUE 15 "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-22:00" "10:30-22:00" "10:30-21:00" 67
"71876" "l-nL4BmhzpZjcavooO48PQ" "ON" "The Wokker Restaurant" 3.5 -79.6043251 43.6489527 TRUE TRUE "no" TRUE 25 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "16:00-23:00" "16:00-22:00" 5
"71882" "L-q2fn9CDKmWX5c2hXUD5w" "NV" "Baan Mae Toy" 4 -115.195896 36.1440225 TRUE FALSE "free" FALSE 29 "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" 98
"71886" "l-syVU_B8T4ZTr_SpMCKfg" "NV" "Popeyes Louisiana Kitchen" 2.5 -115.0326192 36.0836183 TRUE FALSE "no" FALSE 34 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 220
"71897" "L-zHt7gZITG1z8l7TZ4dUg" "NV" "Sugar & Ice" 3.5 -115.165731 36.126506 TRUE FALSE "free" FALSE 87 "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-23:00" "9:00-23:00" "9:00-22:00" 158
"71903" "l_4c__U60fVeTe4IYZBR3w" "AZ" "Biscuits" 3.5 -111.909610927 33.3487234723 TRUE FALSE "no" FALSE 74 "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-20:00" "7:00-14:00" "7:00-14:00" 136
"71915" "L_9g6y_EJqJ7A7nJMV9rmA" "AZ" "ThirdSpace" 4.5 -112.0867795 33.4552388 TRUE TRUE "free" FALSE 93 "10:00-19:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-2:00" "10:00-2:00" "10:00-19:00" 316
"71920" "l_B0JtF2UraFqhDpp5go0Q" "AZ" "Corner Bakery Cafe" 4 -111.940301929 33.4283455538 TRUE FALSE "free" TRUE 31 "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-15:00" "8:00-14:00" "8:00-14:00" 81
"71922" "L_CA24PUcqUPBY5UPF-P9A" "AZ" "Firehouse Subs" 3.5 -111.6001938 33.3948766 TRUE FALSE "no" TRUE 38 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" 182
"71932" "L_GiRGKnEUMW56cRskf5Mw" "ON" "The Stone Pizza" 4 -79.287124 43.6806528 TRUE FALSE "no" FALSE 10 "12:00-20:00" "12:00-20:00" "15:30-20:00" "15:30-20:00" "15:00-21:00" "15:00-20:00" "15:00-20:00" 10
"71935" "l_GV0hgEoTUf70uJVT0_hg" "NV" "Eat." 4 -115.13894 36.166723 TRUE FALSE "no" FALSE 1817 "8:00-15:00" "8:00-15:00" "8:00-15:00" "8:00-15:00" "8:00-15:00" "8:00-14:00" "8:00-14:00" 5310
"71939" "l_jQTJ0Y5GC7_xr7dpiOeQ" "NC" "Casablanca Cafe" 3.5 -80.7391337 35.3172202 TRUE TRUE "free" TRUE 52 "11:30-2:00" "11:30-2:00" "11:30-2:00" "11:30-2:00" "11:30-2:00" "11:30-2:00" "11:30-2:00" 81
"71940" "l_kefVF1frmC0xRW2YkvUA" "NC" "Whisky River " 2.5 -80.8419853935 35.2255945397 TRUE FALSE "free" FALSE 203 "11:00-0:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "12:00-0:00" 717
"71943" "L_LjeIL2qW0r-BkDqDRcFA" "AZ" "Apple Dumpling Cafe" 3.5 -111.7226454 33.2349399 TRUE FALSE "free" FALSE 85 "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" "7:00-14:00" 159
"71953" "l_ph7O9NYyEjMwpSc_TLTw" "AZ" "Federico's Mexican Food" 2.5 -112.1984619 33.480376 TRUE FALSE "free" FALSE 9 "7:00-7:00" "7:00-7:00" "7:00-7:00" "7:00-7:00" "7:00-7:00" "7:00-7:00" "7:00-7:00" 15
"71963" "L_thK7r3K_h5M4tV7amEKQ" "ON" "Honey B Hives Restaurant" 3.5 -79.2479152131 43.8229818717 TRUE TRUE "free" TRUE 134 "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-19:00" "7:00-19:00" "7:00-15:00" 305
"71964" "L_tieGcFMQVSmk7XiA093A" "ON" "Chine Hot Pot & Noodles" 4 -79.3984092772 43.6545068365 FALSE TRUE "free" FALSE 89 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 110
"71965" "l_tk3iLmyKfBUCK-6nBbHg" "EDH" "Hard Rock Cafe" 3.5 -3.1962801801 55.9535169854 FALSE TRUE "free" FALSE 50 "12:00-1:00" "12:00-1:00" "12:00-1:00" "12:00-1:00" "12:00-1:00" "12:00-1:00" "12:00-1:00" 99
"71975" "L_ZLtfHvfzfoNVQ0-okTXg" "NV" "SW Steakhouse" 4 -115.166813653 36.1261670801 FALSE TRUE "no" FALSE 984 "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" 1689
"71976" "l0-d7zbmkwvQ6YaUhFBE-w" "NV" "McDonald's" 2 -115.062984413 36.0250367764 TRUE FALSE "free" FALSE 44 "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-23:00" "5:00-23:00" 262
"71988" "l07ctcrDMV--TYwe3uzebQ" "ON" "Huh Ga Ne" 3.5 -79.4173488 43.7791704 TRUE TRUE "no" TRUE 64 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 195
"71989" "l07I7E_F5IhhBd4uvxxcdA" "NV" "Gators Pizza" 4 -115.055714213 36.0555859718 TRUE FALSE "no" TRUE 29 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "14:00-20:00" 29
"71991" "l09JfMeQ6ynYs5MCJtrcmQ" "ON" "Alize Catering" 3 -79.3993388 43.7113993 TRUE TRUE "no" FALSE 12 "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" "9:00-22:00" 3
"71992" "l0aaLW6ZdDXWjUegUECSxg" "AZ" "Olive Garden Italian Restaurant" 3.5 -112.113950751 33.7120553199 TRUE TRUE "free" TRUE 124 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 672
"71996" "L0aSDVHNXCl6sY4cfZQ-5Q" "NC" "Mai Thai II" 4 -80.7088519 35.3648079 TRUE TRUE "no" TRUE 84 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "12:00-21:00" "12:00-21:00" 134
